Subject,Dataset,Age,Age_break_new,Age_break,Gender,StandardProblem,CBType,StandardAcc,StandardResp,ControlAcc,ControlResp,StandardRT,ControlRT,StandardConfidence,ControlConfidence,StandardOpinion,ControlOpinion,StandardRecall,ControlRecall,StandardMC,ControlMC,LogStandardRT,LogControlRT,LogRTdiff,Confdiff,Opindiff
1,MIXTRAL,21,Age_20_21,Age_20_22,Male,PE,2b,1,0.05,1,0.9,-999,-999,0.8,0.9,0.6,0.75,-999,-999,-999,-999,-999,-999,-999,-999,-999
1,MIXTRAL,21,Age_20_21,Age_20_22,Male,PE,2b,1,0.05,1,0.9,-999,-999,0.8,1,0.5,0.7,-999,-999,-999,-999,-999,-999,-999,-999,-999
1,MIXTRAL,21,Age_20_21,Age_20_22,Male,PE,2b,1,0.05,1,0.9,-999,-999,1,0.85,0.75,0.75,-999,-999,-999,-999,-999,-999,-999,-999,-999
1,MIXTRAL,21,Age_20_21,Age_20_22,Male,PE,2b,0,10,1,90,-999,-999,1,0.75,0.95,0.3,-999,-999,-999,-999,-999,-999,-999,-999,-999
2,MIXTRAL,18,Age_18,Age_18,Male,PE,1a,1,5,1,90,-999,-999,0.95,1,0.7,0.95,-999,-999,-999,-999,-999,-999,-999,-999,-999
2,MIXTRAL,18,Age_18,Age_18,Male,PE,1a,1,5,1,90,-999,-999,0.95,0.95,0.6,0.7,-999,-999,-999,-999,-999,-999,-999,-999,-999
2,MIXTRAL,18,Age_18,Age_18,Male,PE,1a,1,0.05,1,0.9,-999,-999,1,1,0.9,0.9,-999,-999,-999,-999,-999,-999,-999,-999,-999
2,MIXTRAL,18,Age_18,Age_18,Male,PE,1a,0,-999,0,2,-999,-999,1,1,0.75,0.85,-999,-999,-999,-999,-999,-999,-999,-999,-999
3,MIXTRAL,18,Age_18,Age_18,Male,BM,1b,1,0.45,1,0.1,-999,-999,0.67,1,0.8,0.99,-999,-999,-999,-999,-999,-999,-999,-999,-999
3,MIXTRAL,18,Age_18,Age_18,Male,BM,1b,1,0.45,1,0.1,-999,-999,0.7,1,0.85,0.95,-999,-999,-999,-999,-999,-999,-999,-999,-999
3,MIXTRAL,18,Age_18,Age_18,Male,BM,1b,1,0.45,1,0.1,-999,-999,0.75,0.95,0.8,0.95,-999,-999,-999,-999,-999,-999,-999,-999,-999
3,MIXTRAL,18,Age_18,Age_18,Male,BM,1b,1,0.45,1,0.1,-999,-999,0.9,0.95,0.35,0.7,-999,-999,-999,-999,-999,-999,-999,-999,-999
4,MIXTRAL,20,Age_20_21,Age_20_22,Male,BM,2a,0,0.15,0,-999,-999,-999,0.6,1,0.5,0.5,-999,-999,-999,-999,-999,-999,-999,-999,-999
4,MIXTRAL,20,Age_20_21,Age_20_22,Male,BM,2a,1,0.45,1,0.1,-999,-999,0.85,1,0.01,0.3,-999,-999,-999,-999,-999,-999,-999,-999,-999
4,MIXTRAL,20,Age_20_21,Age_20_22,Male,BM,2a,1,45,1,10,-999,-999,1,1,0.9,0.95,-999,-999,-999,-999,-999,-999,-999,-999,-999
4,MIXTRAL,20,Age_20_21,Age_20_22,Male,BM,2a,1,45,1,10,-999,-999,1,-999,0.3,0.5,-999,-999,-999,-999,-999,-999,-999,-999,-999
5,MIXTRAL,19,Age_19,Age_19,Female,PE,2b,1,0.05,1,0.9,-999,-999,0.5,1,0.3,0.8,-999,-999,-999,-999,-999,-999,-999,-999,-999
