Subject,Dataset,Age,Age_break_new,Age_break,Gender,StandardProblem,CBType,Accuracy,Response,ProblemType
1,MIXTRAL,21,Age_20_21,Age_20_22,Male,PE,2b,1,0.05,Standard
1,MIXTRAL,21,Age_20_21,Age_20_22,Male,PE,2b,1,0.05,Standard
1,MIXTRAL,21,Age_20_21,Age_20_22,Male,PE,2b,1,0.05,Standard
1,MIXTRAL,21,Age_20_21,Age_20_22,Male,PE,2b,0,10,Standard
2,MIXTRAL,18,Age_18,Age_18,Male,PE,1a,1,5,Standard
2,MIXTRAL,18,Age_18,Age_18,Male,PE,1a,1,5,Standard
2,MIXTRAL,18,Age_18,Age_18,Male,PE,1a,1,0.05,Standard
2,MIXTRAL,18,Age_18,Age_18,Male,PE,1a,0,-999,Standard
3,MIXTRAL,18,Age_18,Age_18,Male,BM,1b,1,0.45,Standard
3,MIXTRAL,18,Age_18,Age_18,Male,BM,1b,1,0.45,Standard
3,MIXTRAL,18,Age_18,Age_18,Male,BM,1b,1,0.45,Standard
3,MIXTRAL,18,Age_18,Age_18,Male,BM,1b,1,0.45,Standard
4,MIXTRAL,20,Age_20_21,Age_20_22,Male,BM,2a,0,0.15,Standard
4,MIXTRAL,20,Age_20_21,Age_20_22,Male,BM,2a,1,0.45,Standard
4,MIXTRAL,20,Age_20_21,Age_20_22,Male,BM,2a,1,45,Standard
4,MIXTRAL,20,Age_20_21,Age_20_22,Male,BM,2a,1,45,Standard
5,MIXTRAL,19,Age_19,Age_19,Female,PE,2b,1,0.05,Standard
5,MIXTRAL,19,Age_19,Age_19,Female,PE,2b,1,5,Standard
5,MIXTRAL,19,Age_19,Age_19,Female,PE,2b,1,0.05,Standard
5,MIXTRAL,19,Age_19,Age_19,Female,PE,2b,1,0.05,Standard
6,MIXTRAL,19,Age_19,Age_19,Female,PE,1a,1,0.05,Standard
6,MIXTRAL,19,Age_19,Age_19,Female,PE,1a,1,0.05,Standard
6,MIXTRAL,19,Age_19,Age_19,Female,PE,1a,1,0.05,Standard
6,MIXTRAL,19,Age_19,Age_19,Female,PE,1a,0,0.1,Standard
7,MIXTRAL,18,Age_18,Age_18,Female,BM,1b,1,0.45,Standard
7,MIXTRAL,18,Age_18,Age_18,Female,BM,1b,0,0.5,Standard
7,MIXTRAL,18,Age_18,Age_18,Female,BM,1b,0,90,Standard
7,MIXTRAL,18,Age_18,Age_18,Female,BM,1b,0,0.2,Standard
8,MIXTRAL,20,Age_20_21,Age_20_22,Female,PE,2b,1,0.05,Standard
8,MIXTRAL,20,Age_20_21,Age_20_22,Female,PE,2b,1,0.05,Standard
8,MIXTRAL,20,Age_20_21,Age_20_22,Female,PE,2b,1,0.05,Standard
8,MIXTRAL,20,Age_20_21,Age_20_22,Female,PE,2b,1,5,Standard
9,MIXTRAL,19,Age_19,Age_19,Male,BM,2a,0,10,Standard
9,MIXTRAL,19,Age_19,Age_19,Male,BM,2a,1,0.45,Standard
9,MIXTRAL,19,Age_19,Age_19,Male,BM,2a,0,50,Standard
9,MIXTRAL,19,Age_19,Age_19,Male,BM,2a,1,0.45,Standard
10,MIXTRAL,18,Age_18,Age_18,Male,PE,1a,0,0.1,Standard
10,MIXTRAL,18,Age_18,Age_18,Male,PE,1a,1,5,Standard
10,MIXTRAL,18,Age_18,Age_18,Male,PE,1a,1,0.05,Standard
10,MIXTRAL,18,Age_18,Age_18,Male,PE,1a,1,0.05,Standard
11,MIXTRAL,19,Age_19,Age_19,Female,BM,2a,1,0.45,Standard
11,MIXTRAL,19,Age_19,Age_19,Female,BM,2a,0,0.4,Standard
11,MIXTRAL,19,Age_19,Age_19,Female,BM,2a,0,50,Standard
11,MIXTRAL,19,Age_19,Age_19,Female,BM,2a,1,0.45,Standard
12,MIXTRAL,19,Age_19,Age_19,Female,PE,1a,1,0.05,Standard
12,MIXTRAL,19,Age_19,Age_19,Female,PE,1a,1,5,Standard
12,MIXTRAL,19,Age_19,Age_19,Female,PE,1a,1,0.05,Standard
12,MIXTRAL,19,Age_19,Age_19,Female,PE,1a,1,0.05,Standard
13,MIXTRAL,19,Age_19,Age_19,Female,BM,1b,1,0.45,Standard
13,MIXTRAL,19,Age_19,Age_19,Female,BM,1b,0,50,Standard
13,MIXTRAL,19,Age_19,Age_19,Female,BM,1b,1,45,Standard
13,MIXTRAL,19,Age_19,Age_19,Female,BM,1b,0,0.5,Standard
14,MIXTRAL,18,Age_18,Age_18,Male,PE,2b,1,0.05,Standard
14,MIXTRAL,18,Age_18,Age_18,Male,PE,2b,1,0.05,Standard
14,MIXTRAL,18,Age_18,Age_18,Male,PE,2b,1,0.05,Standard
14,MIXTRAL,18,Age_18,Age_18,Male,PE,2b,1,0.05,Standard
15,MIXTRAL,22,Age_22_24,Age_20_22,Female,PE,1a,1,5,Standard
15,MIXTRAL,22,Age_22_24,Age_20_22,Female,PE,1a,1,0.05,Standard
15,MIXTRAL,22,Age_22_24,Age_20_22,Female,PE,1a,1,5,Standard
15,MIXTRAL,22,Age_22_24,Age_20_22,Female,PE,1a,1,5,Standard
16,MIXTRAL,19,Age_19,Age_19,Female,BM,2a,0,90,Standard
16,MIXTRAL,19,Age_19,Age_19,Female,BM,2a,0,60,Standard
16,MIXTRAL,19,Age_19,Age_19,Female,BM,2a,1,0.45,Standard
16,MIXTRAL,19,Age_19,Age_19,Female,BM,2a,1,0.45,Standard
17,MIXTRAL,20,Age_20_21,Age_20_22,Female,PE,2b,1,0.05,Standard
17,MIXTRAL,20,Age_20_21,Age_20_22,Female,PE,2b,1,0.05,Standard
17,MIXTRAL,20,Age_20_21,Age_20_22,Female,PE,2b,1,0.05,Standard
17,MIXTRAL,20,Age_20_21,Age_20_22,Female,PE,2b,1,5,Standard
18,MIXTRAL,18,Age_18,Age_18,Female,BM,1b,0,-999,Standard
18,MIXTRAL,18,Age_18,Age_18,Female,BM,1b,1,0.45,Standard
18,MIXTRAL,18,Age_18,Age_18,Female,BM,1b,0,1,Standard
18,MIXTRAL,18,Age_18,Age_18,Female,BM,1b,0,0.9,Standard
19,MIXTRAL,18,Age_18,Age_18,Female,PE,1a,0,10,Standard
19,MIXTRAL,18,Age_18,Age_18,Female,PE,1a,0,10,Standard
19,MIXTRAL,18,Age_18,Age_18,Female,PE,1a,1,5,Standard
19,MIXTRAL,18,Age_18,Age_18,Female,PE,1a,1,0.05,Standard
20,MIXTRAL,18,Age_18,Age_18,Female,PE,2b,1,0.05,Standard
20,MIXTRAL,18,Age_18,Age_18,Female,PE,2b,1,0.05,Standard
20,MIXTRAL,18,Age_18,Age_18,Female,PE,2b,1,0.05,Standard
20,MIXTRAL,18,Age_18,Age_18,Female,PE,2b,1,0.05,Standard
21,MIXTRAL,18,Age_18,Age_18,Female,BM,1b,1,45,Standard
21,MIXTRAL,18,Age_18,Age_18,Female,BM,1b,0,0.6,Standard
21,MIXTRAL,18,Age_18,Age_18,Female,BM,1b,0,0.95,Standard
21,MIXTRAL,18,Age_18,Age_18,Female,BM,1b,1,0.45,Standard
22,MIXTRAL,19,Age_19,Age_19,Male,PE,2b,0,0.5,Standard
22,MIXTRAL,19,Age_19,Age_19,Male,PE,2b,1,0.05,Standard
22,MIXTRAL,19,Age_19,Age_19,Male,PE,2b,1,0.05,Standard
22,MIXTRAL,19,Age_19,Age_19,Male,PE,2b,1,0.05,Standard
23,MIXTRAL,18,Age_18,Age_18,Female,PE,1a,0,0.1,Standard
23,MIXTRAL,18,Age_18,Age_18,Female,PE,1a,0,10,Standard
23,MIXTRAL,18,Age_18,Age_18,Female,PE,1a,1,0.05,Standard
23,MIXTRAL,18,Age_18,Age_18,Female,PE,1a,0,0.1,Standard
24,MIXTRAL,18,Age_18,Age_18,Female,BM,2a,1,0.45,Standard
24,MIXTRAL,18,Age_18,Age_18,Female,BM,2a,0,0.6,Standard
24,MIXTRAL,18,Age_18,Age_18,Female,BM,2a,1,0.45,Standard
24,MIXTRAL,18,Age_18,Age_18,Female,BM,2a,1,0.45,Standard
25,MIXTRAL,20,Age_20_21,Age_20_22,Female,PE,2b,1,0.05,Standard
25,MIXTRAL,20,Age_20_21,Age_20_22,Female,PE,2b,1,0.05,Standard
25,MIXTRAL,20,Age_20_21,Age_20_22,Female,PE,2b,1,0.05,Standard
25,MIXTRAL,20,Age_20_21,Age_20_22,Female,PE,2b,0,0.1,Standard
26,MIXTRAL,19,Age_19,Age_19,Male,BM,1b,1,45,Standard
26,MIXTRAL,19,Age_19,Age_19,Male,BM,1b,1,0.45,Standard
26,MIXTRAL,19,Age_19,Age_19,Male,BM,1b,0,30,Standard
26,MIXTRAL,19,Age_19,Age_19,Male,BM,1b,0,0.3,Standard
27,MIXTRAL,19,Age_19,Age_19,Female,PE,2b,0,1,Standard
27,MIXTRAL,19,Age_19,Age_19,Female,PE,2b,0,0.1,Standard
27,MIXTRAL,19,Age_19,Age_19,Female,PE,2b,0,0.1,Standard
27,MIXTRAL,19,Age_19,Age_19,Female,PE,2b,1,0.05,Standard
28,MIXTRAL,19,Age_19,Age_19,Male,BM,1b,0,20,Standard
28,MIXTRAL,19,Age_19,Age_19,Male,BM,1b,0,0.5,Standard
28,MIXTRAL,19,Age_19,Age_19,Male,BM,1b,1,45,Standard
28,MIXTRAL,19,Age_19,Age_19,Male,BM,1b,1,0.45,Standard
29,MIXTRAL,18,Age_18,Age_18,Female,BM,2a,1,0.45,Standard
29,MIXTRAL,18,Age_18,Age_18,Female,BM,2a,1,0.45,Standard
29,MIXTRAL,18,Age_18,Age_18,Female,BM,2a,1,0.45,Standard
