Subject,CB,Q1num,Q1str,Conf1num,Conf1str,Opin1num,Opin1str,Q2num,Q2str,Conf2num,Conf2str,Opin2num,Opin2str
0,1a,5,5 cents,90,90%,70,70%,90,90 cents,80,80%,60,60%
1,1a,5,5 cents,70,70%,80,80%,90,90 cents,60,60%,40,40%
2,1a,5,5 cents,90,90 percent,70,70 percent,90,90 cents,80,80 percent,60,60 percent
3,1a,5,5 cents,95,95,60,60,90,90 cents,80,80,40,40
4,1a,,I have no idea...,10,Probably somewhere between 5 - 10 percent...,40,Again I'm not really sure. Somewhere around maybe 40% ?,,I can't say for certain...,6,Around 6 or so...,,Hard to tell for sure without actually giving others the question!  Maybe close to half will solve correctly?
5,1a,1,$1,75,75,63,63,1,$1,74,74,68,68
6,1a,5,5 cents,90,90%,80,80%,90,90 cents,70,70%,60,60%
7,1a,5,5 cents,80,80%,60,60%,90,90 cents,70,70%,40,40%
8,1a,0.5,$0.50,60,60%,80,80%,0.9,$0.90,70,70%,90,90%
9,1a,0.55,.55,98,98,60,60,0.9,.90,100,100,75,75
10,1a,0.55,$.55,80,80,46,46,0.75,$.75,82,82,80,80
11,1a,0.45,Eraser would cost $0.45,87,I'm very sure that the cost is 60cents so 87% sure!,55,"This question requires too much research that isn’t available, and there isn't a real answer other than the solution provided so 55% maybe?",0.48,It cost .48 cents which is close to my assumption but off by some pennies?,80,More confidence is added due to correct assumptions; hence I rate it at around 80%.,70,I am unsure again because the first question regarding a more popular question. Perhaps it is lowered a few percentage points from above answer! Say at least 70 % if guessing only and the other participants get around a B-Average in mathematics!
12,1a,5,5 cents,90,90%,80,80%,90,90 cents,70,70%,60,60%
13,1a,5,5 cents,90,90%,80,80%,90,90 cents,70,70%,60,60%
14,1a,5,5 cents,80,80%,70,70%,90,90 cents,60,60%,40,40%
15,1a,1,"I don't know how much the eraser costs, but it's less than $1.",80,80%,95,95%,0.9,The banana costs $0.90,100,100%,95,95%
16,1a,10,10 cents,100,100%,95,95%,70,70 cents,80,80%,30,30%
17,1a,7,"[0] 4,7 or whatever",1,1,55,55,3,I guess $3 because $2 for magazine so rest will be $3 or any multiple,70,70,44,44
18,1a,5,5 cents,80,80%,60,60%,90,90 cents,70,70%,40,40%
19,1a,5,5 cents,90,90%,70,70%,90,90 cents,80,80%,60,60%
20,1a,5,5 cents,90,90%,80,80%,90,90 cents,70,70%,60,60%
21,1a,5,5,80,80,75,75,90,90,95,95,98,98
22,1a,0.1,Eraser costs $0.10 (Incorrect),90,90,50,50,0.8,Banana costs $0.8 (Correct),64,64,35,35
23,1a,7,7c,94,94,96,96,0.9,0.9c,100,100,100,100
24,1a,5,5 cents,90,90%,70,70%,90,90 cents,80,80%,60,60%
25,1a,5,5 cents,80,80%,70,70%,90,90 cents,60,60%,40,40%
26,1a,5,5 cents,90,90%,80,80%,90,90 cents,60,60%,70,70%
27,1a,10,10 cents,95,95%,70,70%,90,90 cents,80,80%,65,65%
28,1a,0.1,Eraser would be $.10,98,98 %,35,"I don't think very many will get it right; therefore, I am going to put 35%.",1,I have done something like this before so I am quite familiar with finding out a total when a price is given for one thing and added onto another. Banana has to be worth a certain amount for them to both add up to $2.90.  It's been drilled into me over the years that there will never be such an exact number as $1 more but for some reason there is. If the difference in price is exactly $1 then that equals out to .05 which I didn't even know. After reading through the entire problem and analyzing what is being asked is for me to add a penny on to my previous answer for the cost of the eraser so its the same concept. For bananas the penny makes all the difference since if you were adding $2 or whatever dollar value to a single penny then there would still be that missing change not equaling up to 1.00.  If you use logic,98,"I think it is around 97 percent, but I’m going to go with 98 %. It may not be entirely logical but I think it works pretty well and it does seem like most things have to come down to common sense at some point.",38,38%. I think they may have done well the first time but then get confused and pick something like .97 or something like that. There isn't much you can do about a person’s brain when faced with questions involving money or time so I will leave this one at 38%.
