Subject,Group,Age,Gender,StandardProblem,CBType,StandardAcc,StandardResp,ControlAcc,ControlResp,StandardRT,ControlRT,StandardConfidence,ControlConfidence,StandardOpinion,ControlOpinion,StandardRecall,ControlRecall,StandardMC,ControlMC,LogStandardRT,LogControlRT,LogRTdiff,Confdiff,Opindiff,temp
0,SONA,22,Female,PE,1a,1,0.05,1,0.9,53.242,17.083,0.99,0.99,0.99,0.99,1,0,1,0,1.73434,1.25727,0.477065,0,0,0.1
1,SONA,22,Female,PE,1a,1,0.05,1,0.9,53.242,17.083,0.99,0.99,0.99,0.99,1,0,1,0,1.73434,1.25727,0.477065,0,0,0.2
2,SONA,22,Female,PE,1a,1,0.05,1,0.9,53.242,17.083,0.99,0.99,0.99,0.99,1,0,1,0,1.73434,1.25727,0.477065,0,0,0.4
3,SONA,22,Female,PE,1a,1,0.05,1,0.9,53.242,17.083,0.99,0.99,0.99,0.99,1,0,1,0,1.73434,1.25727,0.477065,0,0,0.8
4,SONA,22,Female,PE,1a,1,0.05,1,0.9,53.242,17.083,0.99,0.99,0.99,0.99,1,0,1,0,1.73434,1.25727,0.477065,0,0,1.6
5,SONA,22,Female,PE,1a,1,0.05,1,0.9,53.242,17.083,0.99,0.99,0.99,0.99,1,0,1,0,1.73434,1.25727,0.477065,0,0,3.2
6,SONA,22,Male,PE,1a,1,0.05,1,0.9,374.151,206.036,0.9,0.9,0.5,0.9,1,0,1,0,2.57421,2.31605,0.25816,0,-0.4,0.1
7,SONA,22,Male,PE,1a,1,0.05,1,0.9,374.151,206.036,0.9,0.9,0.5,0.9,1,0,1,0,2.57421,2.31605,0.25816,0,-0.4,0.2
8,SONA,22,Male,PE,1a,1,0.05,1,0.9,374.151,206.036,0.9,0.9,0.5,0.9,1,0,1,0,2.57421,2.31605,0.25816,0,-0.4,0.4
9,SONA,22,Male,PE,1a,1,0.05,1,0.9,374.151,206.036,0.9,0.9,0.5,0.9,1,0,1,0,2.57421,2.31605,0.25816,0,-0.4,0.8
10,SONA,22,Male,PE,1a,1,0.05,1,0.9,374.151,206.036,0.9,0.9,0.5,0.9,1,0,1,0,2.57421,2.31605,0.25816,0,-0.4,1.6
11,SONA,22,Male,PE,1a,1,0.05,1,0.9,374.151,206.036,0.9,0.9,0.5,0.9,1,0,1,0,2.57421,2.31605,0.25816,0,-0.4,3.2
12,SONA,22,Female,PE,1a,1,0.05,1,0.9,53.242,17.083,0.99,0.99,0.99,0.99,1,0,1,0,1.73434,1.25727,0.477065,0,0,0.1
13,SONA,22,Female,PE,1a,1,0.05,1,0.9,53.242,17.083,0.99,0.99,0.99,0.99,1,0,1,0,1.73434,1.25727,0.477065,0,0,0.2
14,SONA,22,Female,PE,1a,1,0.05,1,0.9,53.242,17.083,0.99,0.99,0.99,0.99,1,0,1,0,1.73434,1.25727,0.477065,0,0,0.4
15,SONA,22,Female,PE,1a,1,0.05,1,0.9,53.242,17.083,0.99,0.99,0.99,0.99,1,0,1,0,1.73434,1.25727,0.477065,0,0,0.8
16,SONA,22,Female,PE,1a,1,0.05,1,0.9,53.242,17.083,0.99,0.99,0.99,0.99,1,0,1,0,1.73434,1.25727,0.477065,0,0,1.6
17,SONA,22,Female,PE,1a,1,0.05,1,0.9,53.242,17.083,0.99,0.99,0.99,0.99,1,0,1,0,1.73434,1.25727,0.477065,0,0,3.2
18,SONA,22,Male,PE,1a,1,0.05,1,0.9,374.151,206.036,0.9,0.9,0.5,0.9,1,0,1,0,2.57421,2.31605,0.25816,0,-0.4,0.1
19,SONA,22,Male,PE,1a,1,0.05,1,0.9,374.151,206.036,0.9,0.9,0.5,0.9,1,0,1,0,2.57421,2.31605,0.25816,0,-0.4,0.2
20,SONA,22,Male,PE,1a,1,0.05,1,0.9,374.151,206.036,0.9,0.9,0.5,0.9,1,0,1,0,2.57421,2.31605,0.25816,0,-0.4,0.4
21,SONA,22,Male,PE,1a,1,0.05,1,0.9,374.151,206.036,0.9,0.9,0.5,0.9,1,0,1,0,2.57421,2.31605,0.25816,0,-0.4,0.8
22,SONA,22,Male,PE,1a,1,0.05,1,0.9,374.151,206.036,0.9,0.9,0.5,0.9,1,0,1,0,2.57421,2.31605,0.25816,0,-0.4,1.6
23,SONA,22,Male,PE,1a,1,0.05,1,0.9,374.151,206.036,0.9,0.9,0.5,0.9,1,0,1,0,2.57421,2.31605,0.25816,0,-0.4,3.2
24,SONA,22,Female,PE,1a,1,0.05,1,0.9,53.242,17.083,0.99,0.99,0.99,0.99,1,0,1,0,1.73434,1.25727,0.477065,0,0,0.1
25,SONA,22,Female,PE,1a,1,0.05,1,0.9,53.242,17.083,0.99,0.99,0.99,0.99,1,0,1,0,1.73434,1.25727,0.477065,0,0,0.2
26,SONA,22,Female,PE,1a,1,0.05,1,0.9,53.242,17.083,0.99,0.99,0.99,0.99,1,0,1,0,1.73434,1.25727,0.477065,0,0,0.4
27,SONA,22,Female,PE,1a,1,0.05,1,0.9,53.242,17.083,0.99,0.99,0.99,0.99,1,0,1,0,1.73434,1.25727,0.477065,0,0,0.8
28,SONA,22,Female,PE,1a,1,0.05,1,0.9,53.242,17.083,0.99,0.99,0.99,0.99,1,0,1,0,1.73434,1.25727,0.477065,0,0,1.6
29,SONA,22,Female,PE,1a,1,0.05,1,0.9,53.242,17.083,0.99,0.99,0.99,0.99,1,0,1,0,1.73434,1.25727,0.477065,0,0,3.2
30,SONA,22,Male,PE,1a,1,0.05,1,0.9,374.151,206.036,0.9,0.9,0.5,0.9,1,0,1,0,2.57421,2.31605,0.25816,0,-0.4,0.1
31,SONA,22,Male,PE,1a,1,0.05,1,0.9,374.151,206.036,0.9,0.9,0.5,0.9,1,0,1,0,2.57421,2.31605,0.25816,0,-0.4,0.2
32,SONA,22,Male,PE,1a,1,0.05,1,0.9,374.151,206.036,0.9,0.9,0.5,0.9,1,0,1,0,2.57421,2.31605,0.25816,0,-0.4,0.4
33,SONA,22,Male,PE,1a,1,0.05,1,0.9,374.151,206.036,0.9,0.9,0.5,0.9,1,0,1,0,2.57421,2.31605,0.25816,0,-0.4,0.8
