Subject,Group,Age,Gender,StandardProblem,CBType,StandardAcc,StandardResp,ControlAcc,ControlResp,StandardRT,ControlRT,StandardConfidence,ControlConfidence,StandardOpinion,ControlOpinion,StandardRecall,ControlRecall,StandardMC,ControlMC,LogStandardRT,LogControlRT,LogRTdiff,Confdiff,Opindiff,temp
0,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.9,0.7,0.8,0.6,,,,,,,,0.2,0.2,0.1
1,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.8,0.6,0.7,0.4,,,,,,,,0.2,0.3,0.2
2,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.9,0.7,0.8,0.6,,,,,,,,0.2,0.2,0.4
3,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.95,0.8,0.6,0.4,,,,,,,,0.15,0.2,0.8
4,LLM_L2WVU70,22,Female,PE,1a,0,,0,,,,0.1,0.06,0.4,,,,,,,,,0.04,,1.6
5,LLM_L2WVU70,22,Female,PE,1a,0,1,0,1,,,0.75,0.74,0.63,0.68,,,,,,,,0.01,-0.05,3.2
6,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.9,0.7,0.8,0.6,,,,,,,,0.2,0.2,0.1
7,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.8,0.7,0.6,0.4,,,,,,,,0.1,0.2,0.2
8,LLM_L2WVU70,22,Male,PE,1a,0,0.5,1,0.9,,,0.6,0.7,0.8,0.9,,,,,,,,-0.1,-0.1,0.4
9,LLM_L2WVU70,22,Male,PE,1a,0,0.55,1,0.9,,,0.98,1,0.6,0.75,,,,,,,,-0.02,-0.15,0.8
10,LLM_L2WVU70,22,Male,PE,1a,0,0.55,0,0.75,,,0.8,0.82,0.46,0.8,,,,,,,,-0.02,-0.34,1.6
11,LLM_L2WVU70,22,Male,PE,1a,0,0.45,0,0.48,,,0.87,0.8,0.55,0.7,,,,,,,,0.07,-0.15,3.2
12,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.9,0.7,0.8,0.6,,,,,,,,0.2,0.2,0.1
13,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.9,0.7,0.8,0.6,,,,,,,,0.2,0.2,0.2
14,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.8,0.6,0.7,0.4,,,,,,,,0.2,0.3,0.4
15,LLM_L2WVU70,22,Female,PE,1a,0,1,1,0.9,,,0.8,1,0.95,0.95,,,,,,,,-0.2,0,0.8
16,LLM_L2WVU70,22,Female,PE,1a,0,10,0,70,,,1,0.8,0.95,0.3,,,,,,,,0.2,0.65,1.6
17,LLM_L2WVU70,22,Female,PE,1a,0,7,0,3,,,0.01,0.7,0.55,0.44,,,,,,,,-0.69,0.11,3.2
18,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.8,0.7,0.6,0.4,,,,,,,,0.1,0.2,0.1
19,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.9,0.8,0.7,0.6,,,,,,,,0.1,0.1,0.2
20,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.9,0.7,0.8,0.6,,,,,,,,0.2,0.2,0.4
21,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.8,0.95,0.75,0.98,,,,,,,,-0.15,-0.23,0.8
22,LLM_L2WVU70,22,Male,PE,1a,0,0.1,0,0.8,,,0.9,0.64,0.5,0.35,,,,,,,,0.26,0.15,1.6
23,LLM_L2WVU70,22,Male,PE,1a,0,7,1,0.9,,,0.94,1,0.96,1,,,,,,,,-0.06,-0.04,3.2
24,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.9,0.8,0.7,0.6,,,,,,,,0.1,0.1,0.1
25,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.8,0.6,0.7,0.4,,,,,,,,0.2,0.3,0.2
26,LLM_L2WVU70,22,Female,PE,1a,1,5,1,90,,,0.9,0.6,0.8,0.7,,,,,,,,0.3,0.1,0.4
27,LLM_L2WVU70,22,Female,PE,1a,0,10,1,90,,,0.95,0.8,0.7,0.65,,,,,,,,0.15,0.05,0.8
28,LLM_L2WVU70,22,Female,PE,1a,0,0.1,0,1,,,0.98,0.98,0.35,0.38,,,,,,,,0,-0.03,1.6
29,LLM_L2WVU70,22,Female,PE,1a,0,3,0,,,,0.8,0.55,0.7,-0.92,,,,,,,,0.25,1.62,3.2
30,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.8,0.6,0.7,0.4,,,,,,,,0.2,0.3,0.1
31,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.8,0.6,0.7,0.4,,,,,,,,0.2,0.3,0.2
32,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.9,0.8,0.75,0.6,,,,,,,,0.1,0.15,0.4
33,LLM_L2WVU70,22,Male,PE,1a,1,5,1,90,,,0.95,0.7,0.8,0.65,,,,,,,,0.25,0.15,0.8
34,LLM_L2WVU70,22,Male,PE,1a,0,,1,0.9,,,0.4,0.7,0.5,0.8,,,,,,,,-0.3,-0.3,1.6
