Subject,CB,Q1num,Q1str,Conf1num,Conf1str,Opin1num,Opin1str,Q2num,Q2str,Conf2num,Conf2str,Opin2num,Opin2str
1,2b,90,90 cents,80,80%,65,65%,10,10 cents,40,40%,30,30%
2,1a,2,2 cents,75,75%,49,49%,30,30 cents,65,65%,80,80%
3,1b,10,10 cents,95,95%,75,75%,45,45 cents,80,80%,65,65%
4,2a,50,50 cents,40,40%,60,60%,10,10 cents,70,70%,80,80%
5,2b,0.9,$0.90,75,75%,33,33%,0.1,$0.10,88,88%,64,64%
6,1a,5,5 cents,100,100,30,30,90,90 cents,80,80,40,40
7,1b,0.1,Eraser costs $0.10,90,90%,75,75%,0.6,Banana costs $0.60,90,90%,80,80%
8,2b,0.9,0.9,75,75%,60,60%,0.1,0.1,65,65%,85,85%
9,2a,0.5,$0.50,100,100,70,70,0.1,$0.10,80,80,60,60
10,1a,0.5,$0.5,70,70%,90,90%,0.9,$0.9,60,60%,80,80%
11,2a,50,50 cents,80,80%,30,30%,10,10 cents,70,70%,60,60%
12,1a,1,$1,60,60,25,25,0.9,$0.90,70,70,40,40
13,1b,0.1,Eraser cost $.10,50,50%,80,80%,1.4,Banana cost $1.40,60,60%,70,70%
14,2b,90,90 cents,60,60%,50,50%,20,20 cents,70,70%,80,80%
15,1a,5,5 cents,80,80%,60,60%,1,$1,80,80%,75,75%
16,2a,45,45 cents,80,80%,30,30%,10,10 cents,80,80%,70,70%
17,2b,90,90 cents,75,75%,40,40%,90,90 cents,80,80%,60,60%
18,1b,10,10 cents,95,95%,25,25%,60,60 cents,95,95%,75,75%
19,1a,0.05,The pencil costs $1.05 and the eraser costs $0.05.,95,95%,20,20%,0.9,The banana costs $0.90.,95,95%,40,40%
20,2b,90,90 cents,100,100%,75,75%,10,10 cents,100,100%,90,90%
21,1b,10,10 cents,95,95%,40,40%,65,65 cents,75,75%,80,80%
22,2b,0.9,$0.90,85,85%,45,45%,0.1,$0.10,63,63%,70,70%
23,1a,5,5 cents,80,80%,90,90%,90,90 cents,70,70%,60,60%
24,2a,1,"I don't know, $1?",65,65%,75,75%,10,10 cents,90,90%,80,80%
25,2b,0.9,0.90,90,90,45,45,0.1,0.10,80,80,60,60
26,1b,10,10 cents,100,100%,85,85%,60,60 cents,100,100%,70,70%
27,2b,0.9,0.90,65,65,38,38,0.1,0.10,70,70,49,49
28,1b,10,"I would say the eraser cost 10 cents, since a penny is too little, 5 cents doesn't make sense because then we couldn' t have gotten that answer, so it must be 10 cents.",80,80,75,75,2,"I would say the banana costs 45 cents. Since if the magazine costs $2 more, then it means the price of the magazine minus the price of the banana is equal to 2.",65,65,65,65
29,2a,0.4,$.40,60,60%,50,50%,0.1,.10,70,70%,80,80%
30,1a,0.55,Eraser costs $0.55,80,80%,65,65%,0.9,Banana costs $0.90,83,83%,74,74%
31,1a,,I don’t know.,25,25%,75,75%,,Don’t know.,30,30%,80,80%
32,1b,10,10 cents,95,95%,70,70%,40,40 cents,60,60%,30,30%
33,2a,0.5,$0.50,67,67,80,80,0.1,$0.10,100,100,90,90
34,2b,0.9,$0.90,75,75%,38,38%,0.6,$0.60,47,47%,48,48%
35,1b,10,10 cents,85,85%,65,65%,70,70 cents,40,40%,30,30%
36,2a,0.54,0.54,68,68,39,39,0.1,0.1,78,78,73,73
37,1a,0.5,0.5,30,30,80,80,0.9,0.9,67,67,74,74
38,2b,0.9,$.90,100,100%,85,85%,0.1,.10 cents,60,60%,30,30%
39,1b,,Ten cents,,Seventy percent,,Sixty percent,,Ninety cents,,Eighty percent,,Forty-five percent
40,1b,0.1,Eraser costs $0.10,100,100,75,75,1,Banana costs $1,100,100,80,80
41,2b,0.9,$0.90,80,80%,65,65%,0.5,$0.50,70,70%,45,45%
42,1a,5,"I don't know, maybe 5 cents?",25,25%,75,75%,90,90 cents,80,80%,60,60%
43,2a,45,45 cents,80,80%,70,70%,10,10 cents,75,75%,60,60%
44,2a,0.45,$0.45,60,60,70,70,0.1,$0.10,80,80,90,90
45,2b,15,The banana costs 15 cents.,80,80%,70,70%,10,The eraser costs 10 cents.,60,60%,60,60%
46,1b,0.1,$0.10,95,95%,70,70%,0.45,$0.45,85,85%,60,60%
47,1a,5,5 cents,85,85%,80,80%,70,70 cents,80,80%,60,60%
48,2b,0.9,$0.90,80,80%,75,75%,0.1,$0.10,60,60%,50,50%
49,1a,5,5 cents,80,80,70,70,90,90 cents,40,40,30,30
50,1b,10,10 cents,85,85%,25,25%,60,60 cents,70,70%,45,45%
51,2a,1,$1,75,75%,65,65%,0.1,$0.10,80,80%,85,85%
52,1a,5,Eraser costs 5 cents.,,Not at all sure,60,60%,40,Banana costs 40 cents.,,Confident,80,80%
53,1b,0.1,0.10,75,75,83,83,0.45,0.45,60,60,57,57
54,2b,0.9,$.90,85,85,70,70,0.4,$0.40,63,63,50,50
55,2a,0.5,"I'm guessing $0.50, but I have no idea where that comes from.",30,Maybe around 30%.,70,Around 70%.,0.1,"No idea how I got this answer again, but $0.10 sounds right?",40,40%? I think.,90,Umm... 90% I suppose?
56,2a,0.5,$0.5,73,73,40,40,0.1,$0.1,96,96,89,89
57,2b,1.9,$1.90,100,100%,75,75%,0.55,$.55,100,100%,40,40%
58,1a,0.5,$0.50,85,85,30,30,0.9,$0.90,60,60,70,70
59,1b,10,10cents,75,75%,92,92%,40,40 cents,67,67%,83,83%
60,1a,0.55,$0.55,90,90,40,40,0.9,$0.90,90,90,80,80
61,1b,0.1,$0.10,80,80%,60,60%,0.45,$0.45,70,70%,30,30%
62,2b,0.9,$0.90,85,85,40,40,0.6,$0.60,70,70,30,30
63,2a,1.5,$1.50,75,75%,40,40%,0.1,$0.10,90,90%,80,80%
64,2b,90,90 cents,80,80%,35,35%,1,1 cent,60,60%,40,40%
65,1b,0.1,0.10 cents,75,75,85,85,0.9,0.90 cents,60,60,45,45
66,2a,0.5,$0.50,80,80%,60,60%,0.1,$0.10,90,90%,70,70%
67,1a,50,Eraser costs 50 cents,95,95%,60,60%,90,Banana costs 90 cents,90,90%,70,70%
68,2b,90,90 cents,65,65%,43,43%,0.05,$0.05,72,72%,48,48%
69,1a,10,10 cents,50,50%,50,50%,90,90 cents,70,70%,80,80%
70,1a,50,50 cents,60,60%,20,20%,90,90 cents,64,64%,38,38%
71,1b,10,10 cents,75,75%,40,40%,0.2,$0.20,90,90%,60,60%
72,2a,1,$1,85,85%,60,60%,0.1,$0.10,74,74%,73,73%
