Subject,Group,Age,Gender,StandardProblem,CBType,StandardAcc,StandardResp,ControlAcc,ControlResp,StandardRT,ControlRT,StandardConfidence,ControlConfidence,StandardOpinion,ControlOpinion,StandardRecall,ControlRecall,StandardMC,ControlMC,LogStandardRT,LogControlRT,LogRTdiff,Confdiff,Opindiff
1,SONA,21,Male,PE,2b,1,0.05,1,0.9,13.779,12.76,0.95,0.98,0.98,0.75,1,0,1,0,1.169645049,1.138618434,0.031026615,-0.03,0.23
2,SONA,18,Male,PE,1a,0,0.1,1,0.9,11.926,9.231,1,1,0.9,0.9,1,0,1,0,1.111464152,1.009918085,0.101546067,0,0
3,SONA,18,Male,BM,1b,1,0.45,1,0.1,7.281,4.665,1,1,0.6,1,1,0,1,0,0.918082785,0.753199914,0.16488287,0,-0.4
4,SONA,20,Male,BM,2a,1,0.45,1,0.1,20.49,8.069,0.9,1,0.75,0.5,1,0,1,0,1.332236415,0.957559402,0.374677014,-0.1,0.25
5,SONA,19,Female,PE,2b,0,0.1,1,0.9,294.315,12.639,0.5,0.85,0.8,0.9,1,0,1,0,2.470285507,1.134782529,1.335502977,-0.35,-0.1
6,SONA,19,Female,PE,1a,0,0.1,1,0.9,26.09,6.12,1,1,0.9,1,0,0,0,0,1.432809005,0.852479994,0.580329011,0,-0.1
7,SONA,18,Female,BM,1b,0,0.9,1,0.1,19.572,19.633,1,1,0.8,0.9,0,0,0,0,1.313276516,1.314562378,-0.001285863,0,-0.1
8,SONA,20,Female,PE,2b,0,0.1,1,0.9,9.46,14.582,1,1,0.9,0.9,0,0,1,0,1.019531685,1.1926232,-0.173091515,0,0
9,SONA,19,Male,BM,2a,1,0.45,1,0.1,31.759,31.026,0.9,1,0.8,1,1,0,1,0,1.515330636,1.505502699,0.009827937,-0.1,-0.2
10,SONA,18,Male,PE,1a,0,0.1,1,0.9,17.262,22.057,1,1,0.75,1,1,0,1,0,1.261548338,1.3628028,-0.101254461,0,-0.25
11,SONA,19,Female,BM,2a,0,2.45,1,0.1,57.455,12.298,0.9,0.9,0.55,0.98,NA,NA,1,1,1.766821665,1.123786329,0.643035336,0,-0.43
12,SONA,19,Female,PE,1a,1,0.05,1,0.9,115.178,19.368,0.55,1,0.45,0.95,1,0,1,0,2.065123896,1.308948386,0.75617551,-0.45,-0.5
13,SONA,19,Female,BM,1b,0,0.9,1,0.1,47.139,15.534,0.8,1,0.8,0.85,0,0,1,0,1.682497064,1.218377933,0.464119131,-0.2,-0.05
14,SONA,18,Male,PE,2b,1,0.05,1,0.9,45.717,39.895,1,1,0.7,0.99,1,0,1,0,1.669474946,1.611670213,0.057804734,0,-0.29
15,SONA,22,Female,PE,1a,1,0.05,1,0.9,53.242,17.083,0.99,0.99,0.99,0.99,1,0,1,0,1.734335694,1.257270482,0.477065212,0,0
16,SONA,19,Female,BM,2a,0,0.9,1,0.1,30.054,8.402,0.7,1,0.7,0.9,1,NA,1,1,1.492117549,0.973220247,0.518897302,-0.3,-0.2
17,SONA,20,Female,PE,2b,0,0.1,1,0.9,4.855,9.738,1,0.9,0.99,0.9,NA,NA,0,1,0.767526899,1.0309234,-0.2633965,0.1,0.09
18,SONA,18,Female,BM,1b,1,0.45,1,0.1,55.959,7.611,1,1,0.9,0.95,1,0,1,0,1.755562356,0.935053589,0.820508767,0,-0.05
19,SONA,18,Female,PE,1a,0,0.1,1,0.9,13.72,10.222,0.99,1,0.99,1,1,0,1,0,1.16790781,1.050070264,0.117837546,-0.01,-0.01
20,SONA,18,Female,PE,2b,0,0.1,1,0.9,14.799,12.34,0.9,1,0.7,0.8,1,0,1,0,1.198629599,1.12515583,0.07347377,-0.1,-0.1
21,SONA,18,Female,BM,1b,1,0.45,1,0.1,49.955,12.365,1,1,1,0.86,1,0,1,0,1.707186806,1.125968963,0.581217843,0,0.14
22,SONA,19,Male,PE,2b,1,0.05,1,0.9,19.454,9.937,1,1,0.8,0.99,1,0,1,0,1.310778252,1.038898212,0.271880039,0,-0.19
23,SONA,18,Female,PE,1a,0,0.1,1,0.9,13.376,8.818,1,1,0.95,0.95,NA,NA,1,0,1.157638064,0.992023028,0.165615036,0,0
24,SONA,18,Female,BM,2a,0,0.9,1,0.1,28.83,10.881,1,1,0.8,0.99,1,0,1,0,1.474653253,1.074852996,0.399800257,0,-0.19
25,SONA,20,Female,PE,2b,0,0.1,1,0.9,10.755,12.235,1,1,0.9,0.9,NA,NA,1,0,1.070222633,1.121723946,-0.051501312,0,0
26,SONA,19,Male,BM,1b,1,0.45,1,0.1,144.208,22.694,1,1,0.9,0.98,NA,NA,1,0,2.161990544,1.374638384,0.78735216,0,-0.08
27,SONA,19,Female,PE,2b,0,0.1,1,0.9,38.809,21.106,0.9,0.9,0.5,0.7,1,0,1,0,1.599981268,1.344510166,0.255471103,0,-0.2
28,SONA,19,Male,BM,1b,1,0.45,1,0.1,51.34,7.673,1,1,0.94,0.98,1,0,1,1,1.718833718,0.938169346,0.780664372,0,-0.04
29,SONA,18,Female,BM,2a,0,0.9,1,0.1,32.448,35.881,0.9,0.9,0.75,0.8,NA,NA,1,0,1.524370155,1.566802688,-0.042432534,0,-0.05
30,SONA,19,Female,PE,1a,0,0.1,1,0.9,13.148,9.652,0.98,0.98,0.98,0.98,1,0,1,0,1.150695051,1.027431158,0.123263893,0,0
31,SONA,18,Male,PE,1a,0,0.1,1,0.9,6.956,13.407,1,1,0.98,0.98,1,0,1,0,0.900694774,1.158573556,-0.257878782,0,0
32,SONA,18,Female,BM,1b,1,0.45,1,0.1,99.475,12.469,0.7,1,0.8,1,1,0,1,0,2.002058015,1.129335353,0.872722662,-0.3,-0.2
33,SONA,19,Female,BM,2a,0,0.9,1,0.1,22.739,10.902,0.4,1,0.7,0.98,1,0,1,0,1.37546242,1.075619946,0.299842475,-0.6,-0.28
34,SONA,19,Female,PE,2b,0,0.1,1,0.9,18.767,23.506,0.99,0.99,0.98,0.99,1,0,1,0,1.295940762,1.389272429,-0.093331667,0,-0.01
35,SONA,19,Female,BM,1b,1,0.45,1,0.1,139.803,13.832,0.8,1,0.7,0.9,1,0,1,0,2.148611908,1.171199717,0.977412191,-0.2,-0.2
36,SONA,19,Male,BM,2a,0,0.9,1,0.1,9.324,7.132,1,1,0.85,0.9,NA,NA,0,1,1.013847996,0.91019737,0.103650626,0,-0.05
