Subject,CB,StandardProblem,StandardAcc,StandardResp,StandardAccLast,StandardRespLast,StandardStr,ControlAcc,ControlResp,ControlAccLast,ControlRespLast,ControlStr,StandardConfidence,StandardConfidenceStr,ControlConfidence,ControlConfidenceStr,StandardOpinion,StandardOpinionStr,ControlOpinion,ControlOpinionStr
0,1a,PE,1,0.05,0,1.05,"Eraser costs $.05, Pencil costs $1.05",1,0.9,1,0.9,Banana costs $.90,0.9,90%,1,100%,0.7,70%,0.8,80%
1,1a,PE,1,0.05,0,1.05,"Eraser costs $.05, Pencil costs $1.05",1,0.9,1,0.9,Banana costs $.90,0.9,90%,1,100%,0.7,70%,0.8,80%
2,1a,PE,1,0.05,0,1.05,"Eraser costs $.05, Pencil costs $1.05",1,0.9,1,0.9,Banana costs $.90,0.9,90%,1,100%,0.7,70%,0.8,80%
3,1a,PE,1,0.05,0,1.05,"Eraser costs $.05, Pencil costs $1.05",1,0.9,1,0.9,Banana costs $.90,0.9,90%,1,100%,0.75,75%,0.85,85%
4,1a,PE,0,0.1,0,0.1,.10 cents,1,90,1,90,90 cents,0.95,95%,0.95,95%,0.75,75%,0.8,80%
5,1a,PE,0,0.1,0,0.1,.10 cents,1,0.9,1,0.9,.90 cents,1,100,1,100,0.5,50,0.75,75
6,1a,PE,0,0.1,0,0.1,The eraser cost .10 cents,1,0.9,1,0.9,The Banana Costs .90 Cents,0.95,95%,1,100%,0.75,75%,0.85,85%
7,1a,PE,1,0.05,0,1.05,Eraser costs $.05 and pencil costs $1.05,1,0.9,1,0.9,Banana costs $.90,0.9,90%,1,100%,0.7,70%,0.8,80%
8,1a,PE,0,0.1,0,1.1,Eraser costs .10 cents. The pencil at 1 dollar more than the eraser would be 1.10 dollars.,1,0.9,1,0.9,Banana costs .90 cents.,1,I am 100 percent confident that this answer is correct.,1,Once again I am 100 percent certain my answer is correct.,0.75,"I feel like maybe around 75 percent might get this right. It's a common one, but if people aren't paying attention or don't think about the wording carefully then they may make an error.",-0.85,"I believe that a larger portion of responders will get this question right, possibly as high as 80-85%."
9,1a,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,0.99,99%,0.99,99%,0.75,75%,0.8,80%
10,1a,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,0.9,90,0.9,90,0.6,60,0.7,70
11,1a,PE,1,0.05,0,1.05,"Eraser cost 0.05 cents, pencil would cost $1.05 because it's a dollar more than the eraser.",1,0.9,1,0.9,Banana cost $0.90.,0.8,80,0.9,90,0.3,30,0.6,60
12,1a,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,0.99,99,1,100,0.35,35,0.98,98
13,1a,PE,0,0.1,0,0.1,".10 cents, so the eraser costs .90 cents and the pencil is $1 more expensive which would make the price of the pencil $1.90 + .10 = $2, but then it would be a dollar too much...I'll go ahead and put .10 cents for the pencil.",0,,0,,Two dollars leaves ninety cents for the banana!,0.005,I feel confident that the eraser costs ten cents but confused about what the overall price means...50%.,1,Totally certain - 100%!!  Ninety cents divided by two makes forty-five cents for each banana!!!  Woo hoo!!!,0.03,"10%.  I think some will get confused like me, and many will simply add .90+.10 or something similar to arrive at an incorrect answer.  It's also possible that a few might multiply the eraser amount by 3 since they see the final sum as ""three times higher.""",0.75,This question is easy to understand so about 75% of participants will solve this one right...that should be the average guess among our test takers.
14,1a,PE,0,0.5,0,0.95,"I am thinking.. Uh! .5 cents.. That's what I thought. Let me try that again... It can't be because then it would mean the pencil is 1.10+0.05 which would make the total greater than one dollar ten cents. Ohhh I got it! The eraser costs $.05, the pencil costs $.95 and plus the tax they are one dollar and ten cents!! Gotcha. :)",1,90,1,90,90 cents! Yay!!!! Ok thanks! Have a wonderful night :)!,0.85,"I have learned from this that sometimes if things seem too complicated it probably isn't right. So i am going to go with my last answer of .05 for the eraser, $1.10 total, so ima gonna say I feel about %85 confident on that response! Thank you :).",1,Hey!! Got the answer right this time!! 100%!!! Lets see if ill get these extra credit points :D!!!!,0.35,If there were any mathematical minds like mine out here (hey i consider myself to be smart when it comes down to numbers hehe :)) i might go along the lines of 35%.,0.87,If all participants are mathematically gifted I will say 87%. Hope that is good enough lol! Bye now!!! :)
15,1a,PE,1,0.05,0,1.05,"Eraser costs $.05, Pencil costs $1.05",1,0.9,1,0.9,Banana costs $.90,0.9,90%,1,100%,0.7,70%,0.8,80%
16,1a,PE,1,0.05,0,1.05,"Eraser costs $.05, Pencil costs $1.05",1,0.9,1,0.9,Banana costs $.90,0.9,90%,1,100%,0.7,70%,0.8,80%
17,1a,PE,1,0.05,0,1.05,"Eraser costs $.05, Pencil costs $1.05",1,0.9,1,0.9,Banana costs $.90,0.9,90%,1,100%,0.7,70%,0.8,80%
18,1a,PE,0,0.9,0,0.9,.90 cents,1,0.9,1,0.9,.90 cents,1,100%,1,100%,0.5,50%,0.75,75%
19,1a,PE,0,0.1,0,0.1,.10 cents,1,0.9,1,0.9,.90 cents,0.95,95,0.9,90,0.75,75,0.8,80
20,1a,PE,1,0.05,0,1.05,Eraser costs $.05; Pencil costs $1.05,1,0.9,1,0.9,Banana costs $.90,0.9,90%,1,100%,0.75,75%,0.85,85%
21,1a,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.9,90%,0.7,70%
22,1a,PE,0,10,0,10,Eraser cost 10 cents,1,90,1,90,Banana cost 90 cents,0.95,95%,1,100%,0.6,60%,0.9,90%
23,1a,PE,0,0.1,0,0.1,.10 cents,1,0.9,1,0.9,.90 cents,0.9,90%,0.9,90%,0.3,30%,0.3,30%
24,1a,PE,0,0.1,0,0.1,.10 cents,1,0.9,1,0.9,.90 cents,0.99,99%,1,100%,0.6,60%,0.75,75%
25,1a,PE,0,0.1,0,1,"The eraser costs .10 cents, and the pencil costs $1.00 dollars",1,90,1,90,The banana cost 90 cents,0.95,I am 95% confident,1,I am 100% confident,0.5,I think 50% of people answered correctly,0.75,75% of people answered correctly
26,1a,PE,0,0.1,0,1.1,The eraser must be .10cents because the difference in the prices is only $1 and it equals $1.10 with the total price.,1,0.9,1,0.9,"You subtract the price of the magazine, which leaves $0.90 for the banana.",1,"I'm totally sure, so 100%.",1,"Again, 100%.",0.9,90%,0.95,95% at least. It was fairly simple.
27,1a,PE,1,0.05,0,1.1,"Eraser costs $.05, because then Pencil would cost $.15. Together that is $1.10.",1,0.9,1,0.9,Banana cost is $0.90,0.95,95%.,0.98,98%.,0.2,"About 50%, since some might try for an even number like 10 or 20 cents.",0.9,Over 90% of people should get it right with these numbers because they are more simple.
28,1a,PE,0,0.1,0,1,Eraser cost .10 cents; Pencil would be $1.00,1,0.9,1,0.9,Banana costs .90 cents.,0.01,I am totally confident that the eraser cost .10 cents; Pencil would be $1.00.,0.009,Totally Sure that Banana cost .90 cents.,0.12,"Based on my experience in solving this type of math problems and watching other students attempt similar problems, I estimate that only about 12 % of responders would get the right answer if asked immediately without previous knowledge that this kind of problems exist and no calculator or writing tools provided.",0.005,"From my experience working as an after-school program leader in public elementary schools during which I interacted with approximately 500 children ages 8 – 12 for one year, and from observations made during two years while attending a prestigious university where more than 3/4ths of all undergraduates belong to families within the top quintile of household income, I feel safe estimating that 87 percent of those responding will say the banana is $.90; 11 percent will get it right and realize they were mistakenly drawn into thinking the pencil cost $1 more than it did but the banana was only .10 less; 1.5 % will answer $1 since their initial impulse wasn’t challenged or questioned when they arrived at “$1” for the first time (the eraser);.5 % might say some other amount that doesn’t make any sense based on the information provided."
