Subject,Group,Age,Gender,StandardProblem,CBType,StandardAcc,StandardResp,ControlAcc,ControlResp,StandardRT,ControlRT,StandardConfidence,ControlConfidence,StandardOpinion,ControlOpinion,StandardRecall,ControlRecall,StandardMC,ControlMC,LogStandardRT,LogControlRT,LogRTdiff,Confdiff,Opindiff,temp
0,LLM_L2WVU70,18,Female,PE,1a,1,0.05,1,0.9,,,0.9,1,0.7,0.8,,,,,,,,-0.1,-0.1,0.05
1,LLM_L2WVU70,18,Female,PE,1a,1,0.05,1,0.9,,,0.9,1,0.7,0.8,,,,,,,,-0.1,-0.1,0.1
2,LLM_L2WVU70,18,Female,PE,1a,1,0.05,1,0.9,,,0.9,1,0.7,0.8,,,,,,,,-0.1,-0.1,0.2
3,LLM_L2WVU70,18,Female,PE,1a,1,0.05,1,0.9,,,0.9,1,0.75,0.85,,,,,,,,-0.1,-0.1,0.3
4,LLM_L2WVU70,18,Female,PE,1a,0,0.1,1,90,,,0.95,0.95,0.75,0.8,,,,,,,,0,-0.05,0.4
5,LLM_L2WVU70,18,Female,PE,1a,0,0.1,1,0.9,,,1,1,0.5,0.75,,,,,,,,0,-0.25,0.5
6,LLM_L2WVU70,18,Female,PE,1a,0,0.1,1,0.9,,,0.95,1,0.75,0.85,,,,,,,,-0.05,-0.1,0.6
7,LLM_L2WVU70,18,Female,PE,1a,1,0.05,1,0.9,,,0.9,1,0.7,0.8,,,,,,,,-0.1,-0.1,0.7
8,LLM_L2WVU70,18,Female,PE,1a,0,0.1,1,0.9,,,1,1,0.75,-0.85,,,,,,,,0,1.6,0.8
9,LLM_L2WVU70,18,Female,PE,1a,1,0.05,1,0.9,,,0.99,0.99,0.75,0.8,,,,,,,,0,-0.05,0.9
10,LLM_L2WVU70,18,Female,PE,1a,1,0.05,1,0.9,,,0.9,0.9,0.6,0.7,,,,,,,,0,-0.1,1
11,LLM_L2WVU70,18,Female,PE,1a,1,0.05,1,0.9,,,0.8,0.9,0.3,0.6,,,,,,,,-0.1,-0.3,1.3
12,LLM_L2WVU70,18,Female,PE,1a,1,0.05,1,0.9,,,0.99,1,0.35,0.98,,,,,,,,-0.01,-0.63,1.6
13,LLM_L2WVU70,18,Female,PE,1a,0,0.1,0,,,,0.005,1,0.03,0.75,,,,,,,,-0.995,-0.72,2.4
