Subject,Subject,CB,StandardProblem,StandardAcc,StandardResp,StandardAccLast,StandardRespLast,StandardStr,ControlAcc,ControlResp,ControlAccLast,ControlRespLast,ControlStr,StandardConfidence,StandardConfidenceStr,ControlConfidence,ControlConfidenceStr,StandardOpinion,StandardOpinionStr,ControlOpinion,ControlOpinionStr
0,,1a,PE,1,0.05,0,1.05,"Eraser costs $.05, Pencil costs $1.05",1,0.9,1,0.9,Banana costs $.90,0.9,90%,1,100%,0.7,70%,0.8,80%
1,,1a,PE,1,0.05,0,1.05,"Eraser costs $.05, Pencil costs $1.05",1,0.9,1,0.9,Banana costs $.90,0.9,90%,1,100%,0.7,70%,0.8,80%
2,,1a,PE,1,0.05,0,1.05,"Eraser costs $.05, Pencil costs $1.05",1,0.9,1,0.9,Banana costs $.90,0.9,90%,1,100%,0.75,75%,0.8,80%
3,,1a,PE,1,0.05,0,1.05,Eraser costs $.05 and Pencil costs $1.05,1,0.9,1,0.9,Banana costs $.90,0.9,90%,1,100%,0.7,70%,0.8,80%
4,,1a,PE,1,0.05,0,1.05,"Eraser costs $.05, Pencil costs $1.05",1,0.9,1,0.9,Banana costs $.90,0.9,90%,1,100%,0.5,50%,0.8,80%
5,,1a,PE,1,0.05,0,1.05,"Eraser costs $.05, Pencil costs $1.05",1,0.9,1,0.9,Banana costs $.90,0.9,90%,1,100%,0.6,60%,0.8,80%
6,,1a,PE,1,0.05,0,1.1,"Eraser costs $0.05. If you add the price of both items, it totals $1.10.",1,0.9,1,0.9,Banana costs $0.90.,0.9,90%,1,100%. It's simple addition.,0.011,60%. I think some people would solve it incorrectly by dividing $1.10 into two items instead of adding them.,0.9,90%.
7,,1a,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100,1,100,0.9,90,0.7,70
8,,1a,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100,1,100,0.9,90,0.9,90
9,,1a,PE,1,0.05,0,1.1,"Eraser costs $.05, Pencil costs $1.05 (adds up to $1.10).",1,0.9,1,0.9,Banana costs $.90. It is also simple addition just like the previous question.,1,I am 100 percent confident in my answer because it is basic arithmetic that can be easily calculated in our daily lives.,1,I am 100% sure that my answer is correct because it is simple math.,0.6,I believe most adults will get the correct answer but I would say only about 60% might solve it if there are young children who take the survey.,0.8,This one should be easier than the first so more people should solve it. Maybe close to 80%.
10,,1a,PE,1,0.05,1,0.05,"Eraser costs $.05, because if the pencil costs a dollar more, that makes it $1.05 and the eraser would be .05 cents.",1,0.9,1,0.9,The Banana costs $.90,0.95,I am very confident; 95%.,0.85,I am pretty confident; 85%.,0.75,At least 75% of people get this right.,0.6,"Probably around 60%, some might forget the first problem affects their answer for this one."
11,,1a,PE,0,0.1,0,0.1,.10 cents,1,0.9,1,0.9,.90 cents,0.85,85%,1,100%,0.75,75%,0.5,50%
12,,1a,PE,0,10,0,1.1,"Eraser is 10 cents, pencil would be $1 + $.10 = $1.10 which satisfies both conditions given in the problem.",1,0.9,0,2,Banana must cost .90 since the Magazine was stated at $2,1,100% confident.,1,100%,0.95,I think that around 95% of people will answer correctly if they take a little time to consider the question and use logical reasoning.,0.8,"Probably less than the first one, but I would estimate more than half because its very straightforward, so maybe 80%."
13,,1a,PE,0,0.5,0,1.1,".50 cents for an eraser, and 1 dollar for a pencil. So if the pencil is $1 dollar then that means the difference is only $.50 which would make the eraser $.50 as well because I'm adding the amount together and making them equal $1.10.",1,0.9,1,0.9,It doesn't matter what order they are written in so the banana would be .90 cents.,0.7,70% because this answer makes sense but i know there are different solutions for word problems.,0.9,90%,0.3,I feel like 30% would be a good guess because there are multiple ways to solve these kinds of word problems.,0.6,I would say that maybe only 60% of people would get it right just because some don't even think about how prices could add up.
14,,1a,PE,1,5,1,5,5 cents,1,90,1,90,90 cents,0.7,"70%. It's an even amount, but I can't figure out how or if there might be other factors involved",1,100%,0.95,"95%. Most people would probably do well on it, but there may also be some that aren't really familiar with money calculations",0.98,98%. Most people should get this one correct
15,,1a,PE,1,0.05,0,1.05,"Eraser costs $.05, Pencil costs $1.05",1,0.9,1,0.9,Banana costs $.90,0.9,90%,1,100%,0.7,70%,0.8,80%
16,,1a,PE,1,0.05,0,1.05,"Eraser costs $.05, Pencil costs $1.05",1,0.9,1,0.9,Banana costs $.90,0.9,90%,1,100%,0.7,70%,0.8,80%
17,,1a,PE,1,0.05,0,1.05,"Eraser costs $.05, Pencil costs $1.05",1,0.9,1,0.9,Banana costs $.90,0.9,90%,1,100%,0.75,75%,0.85,85%
18,,1a,PE,0,0.1,0,0.1,.10 cents,1,0.9,1,0.9,.90 cents,0.95,95%,0.95,95%,0.75,75%,0.85,85%
19,,1a,PE,0,0.1,0,0.1,.10 cents,1,0.9,1,0.9,.90 cents,0.95,95%,0.95,95%,0.2,20%,0.4,40%
20,,1a,PE,1,0.05,0,1.05,"Eraser cost $.05, Pencil cost $1.05",1,0.9,1,0.9,Banana cost $.90,0.99,99%,1,100%,0.6,60%,0.8,80%
21,,1a,PE,1,0.05,0,1.05,"Eraser = $0.05, Pencil = $1.05",1,0.9,1,0.9,Banana = $0.90,0.95,95%,1,100%,0.75,75%,0.9,90%
22,,1a,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,0.9,90,0.95,95,0.6,60,0.8,80
23,,1a,PE,1,0.05,0,1.1,"Eraser - $.05, Pencil - $1.05; Total = $1.10",1,0.9,0,2.9,"Banana - $.90, Magazine - $2.00; Total = $2.90",0.9,90%,1,100%,0.45,45%,0.7,70%
24,,1a,PE,0,0.1,0,1,".10 cents or 1/10th of a dollar, because if the pencil was $1 more expensive then the eraser would be free, but since it's not free then it must have some value, and in this case that value is ten cents.",1,90,1,90,90 cents,0.95,"95%, I only thought about it for a couple seconds so I'm pretty sure but not completely certain.",0.9,"90%. I double checked my math and everything, so I feel pretty good about it.",0.001,"10%. It's really easy to forget that there are multiple ways to solve the same problem and just go with what seems most obvious, so I don't think a lot of people realize that the answer can actually be lower than $0.10",0.7,"70%. Most people understand that you subtract the price of one thing from the total cost to figure out the price of another thing, so unless they make an arithmetic error I would assume most people get this right."
25,,1a,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%. I know this one because it's been on the internet before as a famous problem.,1,100%,0.4,Maybe 40%. Most people don't think about the fact that you can buy multiple erasers at different prices.,0.99,Probably like 99%. It's pretty straightforward unless someone is just not thinking.
26,,1a,PE,0,0.9,0,0.9,.90,0,1,0,1,1.0,0.85,85,0.9,90,0.6,60,0.7,70
27,,1a,PE,0,0.9,0,0.9,.90 (the eraser costs $0.90),1,0.9,1,0.9,.90 (the banana costs $0.90),0.5,50%,1,100%,0.5,50%,0.95,95%
28,,1a,PE,1,0.05,0,1.1,"The eraser costs $0.05; a pencil costs $1.05, which makes $1.05 + $0.05 = $1.10.",0,0.6,0,0.6,"Bananas generally run at around $0.60 apiece so I would estimate the cost to be approximately that amount, $0.60 for the banana.",1,100%.  It's pretty straightforward arithmetic that leads me to this answer.,0.75,"Probably about 75%, as long as the question is being presented truthfully, which, sadly, one can never be too sure of.",0.5,"About half will probably get it right, maybe about 50% if they really think before deciding or answer without just guessing.",-0.7,"Not certain; maybe between 40-70%. People who didn't pay attention during elementary school might have problems with these types of worded problems.  Also those that don't regularly deal with prices and such, like younger children."
