This survey is concerned with cognition and decisions made with regard to simple math problems.  Your responses to these problems should enable us to better understand decision-making processes.

Question: How old are you? Just enter the digits of your age.
Participant: 18
Question: What is your gender?
Participant: Male
Question: A pencil and eraser together cost $1.10. The pencil costs $1 more than the eraser. How much does the eraser cost?
Participant: $.05, I subtracted one from the total then divided by two to find the individual prices.
Question: On a scale of 0% (totally not sure) to 100% (totally sure), how confident are you in your response?
Participant: 90%, this answer makes sense but I could see it being wrong for some reason.
Question: In your opinion, what percentage of people answering this problem solved it correctly? Indicate a number from 0% to 100%
Participant: 30%, many people don't have a strong grasp on math fundamentals so they would likely just guess or assume that the pencil and eraser each cost $1.
Question: A magazine and banana together cost $2.90. The magazine costs $2. How much does the banana cost?
Participant: $.90, this is simply subtraction.
Question: On a scale of 0% (totally not sure) to 100% (totally sure), how confident are you in your response?
Participant: 100%, no room for error here.
Question: In your opinion, what percentage of people answering this problem solved it correctly? Indicate a number from 0% to 100%
Participant: 80%, this question requires basic arithmetic skills which most individuals possess.
