Subject,Subject.1,CB,StandardProblem,StandardAcc,StandardResp,StandardAccLast,StandardRespLast,StandardStr,ControlAcc,ControlResp,ControlAccLast,ControlRespLast,ControlStr,StandardConfidence,StandardConfidenceStr,ControlConfidence,ControlConfidenceStr,StandardOpinion,StandardOpinionStr,ControlOpinion,ControlOpinionStr
1,,2b,PE,1,0.05,0,1.1,Eraser = $0.05. Pencil = $0.05 + $1.00 = $1.05 for total = $1.10,1,0.9,0,2.9,$.90 cents because that's what's left when subtracting the cost of the magazine from $2.90,1,100% confident,0.85,85% confident,0.75,75%,0.75,75%
2,,1a,PE,1,5,1,5,5 cents,1,90,1,90,90 cents,0.95,95,0.95,95,0.6,60,0.7,70
3,,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.67,67,1,100,0.8,80,0.99,99
4,,2a,BM,1,0.45,1,0.45,"$.45, I used $b for banana price in terms of the $m magazine price so that I could set up $m = b +$2 and $b+m=2.90$.  Solving this system gives $b = .45.",1,0.1,1,0.1,"$0.10, This problem has the same structure as the last one except with different numbers.  So, after finding that the answer to the first question was $.45 I could find the second answer by just taking $1.10-$1=$0.10 for an eraser.",0.85,"85%, I am pretty sure that my solution to this problem is correct; however, I realize that there can be a rare instance where my assumptions do not apply.",1,"100%, because the numbers are different here I cannot make the same error I made on the previous problem.  Here the solution is simple so there should be no doubt.",0.01,"I believe that only a small fraction of people understand these types of problems, especially those without training in math or logic. Therefore, I think less than 1% will solve the problem.",0.3,I am very confident in my own understanding of this concept but believe that many people might struggle with this problem since it is counter-intuitive.  Because most people would only get part of this correct I would predict only about 30% will have the right answer.
5,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,0.5,50%,1,100%,0.3,30%,0.8,80%
6,,1a,PE,1,0.05,0,0.1,"Eraser costs $0.05 and pencil costs $1.05, but I thought of this only after submitting my initial answer which was .10",1,0.9,0,0.7,"$0.90. My first instinct told me $0.70, then i realized that the question asks for a total price with the magazine.",0.6,60%,0.98,98%.,0.2,Less than 20%.,-1,More than half or 51-100%. I thought about this one less compared to the previous one though because its answer came quicker.
7,,1b,BM,1,0.45,1,0.45,The banana cost $.45,0,,0,,It can't be determined.,0.75,75%,0.9,90%,0.8,I'd say around 80%.,0.25,I'm guessing 25%
8,,2b,PE,1,0.05,1,0.05,"$.05 (The pencil costs $1.05 more than the eraser, which makes the eraser $.05)",1,0.9,0,3,"$0.90 (Because this question asks how much the banana costs, not the change from a $3 dollar bill. I was thinking in terms of making exact change)",0.8,"80% (I am fairly certain I am correct, however since there were issues before with formatting, I felt a bit unsure again.)",0.9,"90% (I'm fairly confident, but because I thought it asked for the change initially, I questioned my answer.)",0.95,95% (I feel like most people will be able to understand that it's asking for the actual cost of the eraser.),0.5,50%. (This is an educated guess as there is always the possibility that others will make the same mistake)
9,,2a,BM,0,50,0,2,"50 cents.  I added the $2 for the magazine to get a total, then subtracted the extra amount the mag was said to be (to get $2).",1,10,0,1.1,10 cents.  I calculated as above -- the additional 1 dollar brings the total to $2.10; after removing one dollar the balance is $1.10 and the eraser was the remainder at ten cents.,0.78,"78%.  If I did the calculation correctly, my answer must be correct.",0.85,85%.  Same as previous question.,0.97,40%.  There may be an assumption that most people will simply divide 2.90 by 3 which leads to the incorrect answer of ~97 cents.,0.01,"60%.  Most people see there's $1 difference between items, but some don't think the remainder through thoroughly and guess or add incorrectly."
10,,1a,PE,1,0.05,0,1.1,"$0.05, because then the pencil would cost $1.05 and $1.05 + $0.05 = $1.10.",1,0.9,0,2,"$0.90, because if the magazine is $2, then the rest is for the banana.",0.9,"90%, because I think this is correct but someone could convince me that I've done the calculations wrong.",1,100%.,0.4,"40%, because many people rush through math problems like this.",0.65,65%.
